text,isdog
"The Australian Shepherd is a breed of herding dog from the United States. The name of the breed is technically a misnomer, as it was developed in California in the 19th century, although it has its origins in Asturias, in the northwest of Spain; the breed was unknown in Australia at the time. It is claimed that Australian Shepherds descend from a variety of herding breeds, including collies imported, alongside sheep, from Australia and New Zealand; the breed reportedly took its name from this trade. Originally used solely as a herding dog, the Australian Shepherd has become one of the most popular companion dog breeds in North America.",1
"The Australian Stumpy Tail Cattle Dog or Stumpy is a naturally bobtailed  or tailless, medium-sized cattle dog similar and/or related to the Australian Cattle Dog which is commonly referred to as a “Heeler”, whereas, the Stumpy is not. The Australian Stumpy Tail Cattle Dog was developed in Australia[1]  to herd cattle,[2] and descends from crosses between European herding dogs and the Australian dingo. The name is spelled both with hyphenation, and without, and while the shorter name Stumpy is sometimes applied, the name Heeler most often refers to the Australian Cattle Dog .[3]",1
"The Australian Terrier is a small breed of dog of the terrier dog type. The breed was developed in Australia, although the ancestral types of dogs from which the breed descends were from Great Britain.",1
The Austrian Black and Tan Hound is a breed of dog originating in Austria.,1
"The Austrian Pinscher (Österreichischer Pinscher) is a medium-sized breed of pinscher-type dog from Austria, where dogs of the type were originally farm dogs, keeping barns free of rats and acting as home guards, livestock guardians, and drovers. The name originally given to the breed in 1928 was the Österreichischer Kurzhaarpinscher (Austrian Shorthaired Pinscher) to differentiate it from similarly named breeds, but today in its country of origin the breed is officially called the Österreichischer Pinscher, or Austrian Pinscher in English.",1
"The Azawakh is a breed of dog from West Africa. With ancient origins, it is raised throughout the Sahelian zone of Mali, Niger,  and Burkina Faso.  This region  includes the Azawagh Valley for which the breed is named.  While commonly associated with the nomadic Tuareg people, they are also bred and owned by other ethnic groups such as the Peulh, Bella, and Hausa. The Azawakh is more related to the Sloughi than it is to the Saluki.[1][unreliable source?]",1
"The Bắc Hà dog (Vietnamese: chó Bắc Hà), is a medium size spitz dog breed and one of Vietnam's Four Great National Dogs (Vietnamese: tứ đại quốc khuyển).[1][2] This primitive dog breed is primarily used a hunter and guard dog by the Hmong people in northern Vietnam, especially in the Bắc Hà district and Si Ma Cai district of Lào Cai province.[2][3] While not recognized by the Fédération Cynologique Internationale, the Bắc Hà dog is recognized by the Vietnam Kennel Association.[4]",1
"The Bakharwal dog is found in northern India.[1][2][3] It is an ancient working Indian dog breed found in Ladakh and across the Pir Panjal Range of India, where it has been bred for many centuries by the Bakarwal Gujjar nomadic tribe as a livestock guardian dog and settlement protector.[4][5] While the Bakharwal Dog is mainly found in India, it is found in smaller numbers in Afghanistan and Pakistan.[6]",1
"The Banjara Hound, also known as the Vanjari Hound, is a breed of dog found in India. It is a sighthound-type dog bred and used for hunting by the nomadic Banjara of Maharashtra.[1][2][3] The Banjara Hound is a rough-coated breed of sighthound, usually brindle or solid-coloured. It resembles a large Saluki, standing around 28 in (71 cm), and is famed for its stamina and ability to pull down deer.[1][4][5]",1
"The Bankhar dog (Buryat: Hotosho, Mongolian: Bankhar, Russian: Бурят-монгольский волкодав), is a landrace livestock guarding dog. Originally bred by the Buryat people, their success contributed to their spread across Buryatia and Mongolia and into adjacent regions before they were nearly annihilated in the mid-20th Century.[1]  Bankhar dogs are prized for their intellect and perseverance even in hostile weather conditions.[2][3] They are loyal and affectionate with their families, but formidable against intruders, including humans, wolves, eagles and snow leopards. [3][4][2]",1
"The Barak[1][2] or Bosnian Broken-haired Hound[1] (Bosnian,Serbo-Croatian: Bosanski oštrodlaki gonič / Босански оштродлаки гонич),[1] is a hunting dog breed developed in Bosnia. The breed is a scenthound, originally used to hunt large game. Other names include Bosnian Rough-haired Hound[3] and Bosnian Rough-coated Hound.[4] These names refer to the texture of the shaggy coat, usually called broken-haired or hard in English dog fancier jargon.",1
"The Barbado da Terceira is Portuguese breed of herding and guard dog from the Atlantic island of Terceira in the Azores, for which it is named. It was recognised by the Direcção-Geral de Veterinária of Portugal in 2004.[1][2] It is not recognised by the Fédération Cynologique Internationale.[3]",1
"The Barbet is a breed of dog; it is a medium-sized French water dog. It is listed in Group 8 (retrievers, flushing dogs, water dogs) by the Société Centrale Canine, the French Kennel Club and the Fédération Cynologique Internationale (International Canine Federation).",1
"The Basenji (/bəˈsɛndʒi/) is a breed of hunting dog. It was bred from stock that originated in central Africa. The Fédération Cynologique Internationale places the breed in the Spitz and primitive types. The Basenji produces an unusual yodel-like sound, due to its unusually shaped larynx.[1] This trait also gives the Basenji the nickname the 'barkless dog.'[2]",1
"The Basque Shepherd Dog, Basque: Euskal Artzain Txakurra, Spanish: Perro de Pastor Vasco, is a traditional Spanish breed of sheepdog originating in the historic Basque Country.[1]: 535  It is believed that they originated from Central European herding dogs.[citation needed]",1
The Basset Artésien Normand (Norman Artesian Basset) is a short legged hound type dog developed in France. The word basset refers to short-legged hounds.,1
"The Basset Bleu de Gascogne (French pronunciation: ​[bɑsɛ blø də ɡasˈkɔɲ]), also known as the Blue Gascony Basset, is a long-backed, short legged breed of dog of the hound type. A French native breed, it is rare outside its homeland. It is recognized internationally by the Fédération Cynologique Internationale, in the UK by The Kennel Club, and by the United Kennel Club in the United States. The ""bleu"" of its name is a reference to its coat which has a ticked appearance.",1
"The Basset Fauve de Bretagne is a short-legged hunting breed of dog of the scent hound type, originally from Brittany, a historical duchy of France.",1
The Basset Hound is a short-legged breed of dog in the hound family. The Basset is a scent hound that was originally bred for the purpose of hunting hare. Their sense of smell and ability to ground-scent is second only to the Bloodhound.[1],1
"The Bavarian Mountain Hound (German: Bayerischer Gebirgsschweißhund) is a breed of dog from Germany. As a scent hound, it has been used in Germany since the early 20th century to trail wounded game. It is a cross between the blood hound, labrador, great dane, german shepard,beauceron, rhodesian ridgeback and the Hanover Hound. This dog needs plenty of exercise and if not given the correct mental and physical stimulation can be prone to depression and sometimes become destructive, though having all these traits they are very kind loving dogs that are great with kids and adults. These dogs tend to be vocal dogs with stubborn attitudes yet still obedient and one of the most intelligent of the hound breeds.",1
"The beagle is a breed of  small scent hound, similar in appearance to the much larger foxhound. The beagle was developed primarily for hunting hare, known as beagling. Possessing a great sense of smell and superior tracking instincts, the beagle is the primary breed used as a detection dog for prohibited agricultural imports and foodstuffs in quarantine around the world. The beagle is intelligent and is a popular pet due to its size, good temper, and a lack of inherited health problems.",1
The Beagle-Harrier is a scenthound. It is a breed of dog originating from France.,1
"The Bearded Collie, or Beardie, is a herding breed of dog once used primarily by Scottish shepherds,[1] but now mostly a popular family companion.",1
The Beauceron is a herding dog breed originating from the plains of Central France. The Beauceron is also known as Berger de Beauce (sheepdog from Beauce) or  Bas Rouge (red-stockings).,1
"The Bedlington Terrier is a breed of small dog named after the mining town of Bedlington, Northumberland in North East England.  Originally bred to hunt, the Bedlington Terrier has since been used in dog racing, numerous dog sports, as well as in conformation shows and as a companion dog. It is closely related to the Dandie Dinmont Terrier, Whippet and Otterhound.",1
"The Belgian Shepherd  (also known as the Belgian Sheepdog, Belgian Malinois, or the Chien de Berger Belge) is a breed of medium-sized herding dog from Belgium. While predominantly considered a single breed, it is bred in four distinct varieties based on coat type and colour; the long-haired black Groenendael, the rough-haired fawn Laekenois, the short-haired fawn Malinois, and the long-haired fawn Tervuren; in the United States the American Kennel Club considers the four varieties to be separate breeds.",1
"The Bergamasco Shepherd, Italian: Cane da Pastore Bergamasco, is an Italian breed of sheepdog. It originated in the Alpi e Prealpi Bergamasche, where it was used as a herding dog for both sheep and cattle.",1
"The Berger Picard (/bɛərˌʒeɪ pɪˈkɑːr/ bair-ZHAY pih-KAR, French: [bɛʁʒe pikaʁ]) or Picardy Shepherd, is a French herding dog originating in Picardy. These dogs nearly became extinct after both World War I and World War II[1] and remain a rare breed.",1
"The Bernese Mountain Dog (German: Berner Sennenhund) is a large dog breed, one of the four breeds of Sennenhund-type dogs from Bern, Switzerland and the Swiss Alps. These dogs have roots in the Roman mastiffs. The name Sennenhund is derived from the German Senne (""alpine pasture"") and Hund (hound/dog), as they accompanied the alpine herders and dairymen called Senn. Berner (or Bernese in English) refers to the area of the breed's origin, in the canton of Bern. This breed was originally kept as a general farm dog. Large Sennenhunde in the past were also used as draft animals, pulling carts.  The breed was officially established in 1912.[3]",1
"A Bichon Frisé (/ˈbiːʃɒn ˈfriːz/ or /ˈbiːʃɒn frɪˈzeɪ/; from French: bichon à poil frisé, French pronunciation: ​[biʃɔ̃ fʁize], meaning 'curly haired dog') is a small breed of dog of the bichon type.",1
The Billy is a large scenthound originating from central western France.,1
"The Black and Tan Coonhound is a breed of hunting dog.  Developed in the United States from crosses between the Bloodhound and the Black and Tan Virginia Foxhound, this scent hound runs its game entirely by scent and is used primarily for raccoon hunting.",1
"The Black Norwegian Elkhound (Norwegian Elghund Sort (NES) in Norwegian) is a small Spitz breed classified by the FCI as a hunting dog.[1] It is currently an uncommon breed in Norway and very rare outside the Nordic countries of Scandinavia. It is a sibling breed to a Grey Norwegian Elkhound, but is smaller, more agile, doesn't bark and was bred  explicitly for on-leash dog hunting.",1
"The Black Russian Terrier (Russian: Русский чёрный терьер), also known as the Chornyi Terrier (chornyi being Russian for black) is a breed of dog created in USSR in Red Star (Krasnaya Zvezda) Kennel during the late 1940s and the early 1950s for use as military/working dogs. At the present time, the Black Russian Terrier is a breed recognized by the FCI (FCI's from September 1983), AKC (AKC's from July 2004), CKC, KC, ANKC, NZKC and other cynological organizations. The contemporary Black Russian Terrier is a working dog, guarding dog, sporting and companion dog.",1
"The Black Mouth Cur, also known as the Southern Cur, Southern Black Mouth Cur and the Yellow Black Mouth Cur, is a medium to large sized breed of cur-type dog from the United States. Originating in the south of the country, the breed is a popular hunting companion used to hunt a large variety of game.",1
"The bloodhound is a large scent hound, originally bred for hunting deer, wild boar and, since the Middle Ages, for tracking people.  Believed to be descended from hounds once kept at the Abbey of Saint-Hubert, Belgium, in French it is called, le chien de Saint-Hubert.",1
"The Lacy Dog or Blue Lacy Dog[1] is a breed of working dog that originated in the State of Texas in the mid-19th century.[2] The Lacy was first recognized in 2001 by the Texas Senate. In Senate Resolution No. 436, the 77th Legislature honored the Lacy as ""a true Texas breed.""[3] In 2005, in House Concurrent Resolution No. 108, the 79th Legislature called the Lacy ""a Texas original; the only dog breed to have originated in this state.""[4] In June 2005, Governor Rick Perry signed the legislation adopting the Blue Lacy as ""the official State Dog Breed of Texas"".[5] As expected, the vast majority of Lacy dogs are found in Texas. However, as the breed becomes more recognized, breeding populations are being established across the United States, Canada, and most recently in Europe.",1
"The Blue Picardy Spaniel (or Épagneul Bleu de Picardie) is a breed of Spaniel originating in France, from the area around the mouth of the River Somme, around the start of the 20th century. It is descended from Picardy Spaniels and English Setters, and is described as a quiet breed that requires much exercise due to its stamina. It is especially good with children. Similar to the Picardy Spaniel, it has a distinctive coloured coat. Recognised by only a handful of kennel associations, the breed is predominantly known in France and Canada.",1
"The Bluetick Coonhound is a breed of coonhound originating in the United States. The Bluetick Coonhound is known for its friendly personality, cold nose,[1] and deep bawl mouth. It is most commonly used as a raccoon hunting dog, but may also be kept as a pet.",1
"The Boerboel (pronounced [ˈbuːrbul]) is a South African breed of large dog of mastiff type, used as a family guard dog. It is large, with a short coat, strong bone structure and well-developed muscles.",1
"The Bohemian Shepherd (Czech: Chodský pes) is an ancient sheep herding dog and watch dog originating from the Czech Republic.[1][2] [3] Since 2019, the Bohemian Shepherd has been provisionally recognized by the FCI and the AKC's Foundation Stock Service.[4][5][6]",1
"The Bolognese (pronounced [boloɲˈɲeːze]) is a small dog breed of the bichon type, originating in Italy. The name refers to the northern Italian city of Bologna. It is part of the toy dog group and is considered a companion dog. ",1
"The Border Collie is a breed of herding dog of medium size. Widely considered to be the most intelligent dog breed,[1] they are descendants of landrace sheepdogs that were once found all over the British Isles, but became standardised in the Anglo-Scottish border region. They are now mostly used as working dogs to herd livestock, specifically sheep.[2]",1
"The Border Terrier is a British breed of small, rough-coated terrier. It originates from the area of the Anglo-Scottish border, and shares ancestry with the Dandie Dinmont Terrier and the Bedlington Terrier from the same area.[2] The dogs were traditionally used in fox-hunting, and worked with the Border Hunt in Northumberland.",1
"The Borzoi[a] or Russian Hunting Sighthound[b] is a Russian breed of hunting dog of sighthound type. It was formerly used for wolf hunting,[1]: 125  and until 1936 was known as the Russian Wolfhound.[1]: 130 [3]",1
"The Boston Terrier is a breed of dog originating in the United States of America. This ""American Gentleman"" was accepted in 1893 by the American Kennel Club as a non-sporting breed.[2] Color and markings are important when distinguishing this breed from the AKC standard. They should be either black, brindle or seal with white markings.[3][4] Boston Terriers are small and compact with a short tail and erect ears. The AKC says they are highly intelligent and very easily trained.[5] They are friendly and can be stubborn at times. The average life span of a Boston Terrier is around 11 to 13 years.[6]",1
Bouvier des Ardennes is a rare dog breed from Belgium.[1] Originating in the Ardennes region these dogs were used to herd cattle. The loss of farms in the area led to serious decline in the numbers of these dogs until 1985 when some breeders found a few dogs and used the original breed standard as their guide in re-introducing the dog.[1],1
"The Bouvier des Flandres is a herding dog breed originating in Flanders, Belgium. They were originally used for general farm work including cattle droving, sheep herding, and cart pulling, and nowadays as guard dogs and police dogs, as well as being kept as pets. The French name of the breed means, literally, ""Cow Herder of Flanders"", referring to the Flemish origin of the breed. Other names for the breed are Toucheur de Boeuf (cattle driver), Vlaamse Koehond (Flemish cow dog), and Vuilbaard (dirty beard).",1
"The Boxer is a medium to large, short-haired dog breed of mastiff-type, developed in Germany. The coat is smooth and tight-fitting; colors are fawn, brindled, or white, with or without white markings. Boxers are brachycephalic (they have broad, short skulls), have a square muzzle, mandibular prognathism (an underbite), very strong jaws, and a powerful bite ideal for hanging on to large prey. The Boxer was bred from the Old English Bulldog and the now extinct Bullenbeisser, which became extinct by crossbreeding rather than by a decadence of the breed. The Boxer is a member of both The Kennel Club and American Kennel Club (AKC) Working Group.[4]",1
"The Boykin Spaniel is a medium-sized breed of dog, a Spaniel bred for hunting wild turkeys and ducks in the Wateree River Swamp of South Carolina, in the United States. It is the state dog of South Carolina, where it was discovered and further developed by hunters in the 1900s. 1 September, 1984 is Boykin Spaniel Day in South Carolina.[1]",1
The Bracco Italiano[a] is an Italian breed of pointing dog.,1
"The Braque d'Auvergne is a breed of dog originating in the mountain area of Cantal, in the historic Auvergne province in the mid-south of France. It is a pointer and versatile gundog. The breed descends from ancient regional types of hunting dogs.",1
"The Braque du Bourbonnais is a breed of gundog, of rustic appearance, sometimes born with a short tail, with a coat ticked with liver, fawn, black, or white",1
"The Braques Français are hunting dogs, from a very old type of gun dog used for pointing the location of game birds for a hunter. There are two breeds of Braque Français, both from the south of France,[1][2]  the Braque français, type Gascogne  (French Pointing Dog – Gascogne type, larger size) and the Braque français, type Pyrénées (French Pointing Dog – Pyrenean type, smaller size) They are popular hunting dogs in France, but are seldom seen elsewhere.",1
"The Braque Saint-Germain (translated into English as the St. Germain Pointing Dog) is a medium-large breed of dog, a versatile hunter used for hunting as a gun dog and pointer as well as for hunting other small game. Braque is a term meaning pointing dogs. The breed was created around 1830 by crossing English and French pointing type dogs.",1
"The Briard (pronounced [bʁijaʁ] (listen))[2]: 108  or Berger de Brie (pronounced [bɛʁʒe də bʁi])[2]: 89  plural: Bergers de Brie}} is a French breed of large shepherd dog, traditionally used both for herding sheep and to defend them. It was first shown at the first Paris dog show, in 1863; the first Briard to be registered in the Livre des Origines Françaises, the national stud-book, was Sans Gêne in 1885.[3] It was in the past also known as the Chien de Berger français de Plaine.",1
"A Briquet Griffon Vendéen is a breed of hunting dog originating in France.  Prior to the first World War it was bred down in size by the Comte d’Elva from the Grand Griffon Vendéen. The Briquet Griffon Vendéen was almost extinct after World War II, but thanks to the effort of Hubert Dezamy, a French dog show judge, the breed was restored.",1
"The Brittany is a breed of gun dog bred primarily for bird hunting.  Although it is often referred to as the Brittany Spaniel, they are not actually spaniels. The AKC reclassified them in 1984 as just Brittanys, since they are pointing dogs and have less genetically in common with Spaniels, and more in common with Setters, which are pointing dogs. The breed's working characteristics are more akin to those of a pointer or setter than a spaniel. ",1
"The Broholmer, also called the Danish Mastiff, is a large mastiff breed of dog from Denmark, recognized by the Danish Kennel Club and the Fédération Cynologique Internationale.  It has been employed as a guard dog in the homes of the wealthy. The breed's numbers dwindled severely during World War II, but the dog made a successful return in the 1970s.",1
The Bruno Jura Hound is a breed of scenthound from the Jura Mountains on the French-Swiss border.,1
"The Griffon Bruxellois or  Brussels Griffon is a breed of toy dog, named for their city of origin of Brussels, Belgium. The Griffon Bruxellois may refer to three different breeds, the Griffon Bruxellois, the Griffon Belge and the Petit Brabançon.[1] Identical in standard except for coat and colour differences, in some standards they are considered varieties of the same breed, much like Belgian Shepherd Dogs.",1
"The Romanian Bucovina Shepherd Dog (Romanian: Ciobănesc Românesc de Bucovina) is a breed  of livestock guardian dogs native to the historical Bukovina (Bucovina) region. The breed is closely related to other livestock guardian breeds of the region, such as the Greek Shepherd, Tornjak, or Šarplaninac. There are four Romanian shepherd dog breeds: the Romanian Mioritic Shepherd Dog (old name Barac), the Carpathian Shepherd Dog (old name Zăvod), the Romanian Raven Shepherd Dog, and the Bucovina Shepherd Dog. In the FCI, this particular breed is officially dubbed the ""Romanian Bucovina Shepherd"".[1]",1
