text,isdog,text_clean
Estrela Mountain Dog 6 month old male.jpg,1,estrela mountain dog month old male
Eurasier Image 001.jpg,1,eurasier image
Eurohound.jpg,1,eurohound
Field spaniel 581.jpg,1,field spaniel
Yacare De El Siledin.JPG,1,yacare de el siledin
Fila de Terceira.jpg,1,filum de terceira
Nuori-suomenajokoira.jpg,1,nuori suomenajokoira
Finnish Lapphund Glenchess Revontuli.jpg,1,finnish lapphund glenchess revontuli
Finnish Spitz 600.jpg,1,finnish spitz
Flat Coated Retriever - black.jpg,1,flat coated retriever black
Patrick the Smooth Fox Terrier.jpg,1,patrick smooth fox terrier
Elias1červen2006.jpg,1,elia erven
Timba arret.jpg,1,timba arret
Fantasme de la parure.jpg,1,fantasme de la parure
04031137 Epagneul Francais.jpg,1,epagneul francais
Galgo espagnol Hembra.jpg,1,galgo espagnol hembra
Palleiro1.JPG,1,palleiro
Garafiano2.jpg,1,garafiano
Virelade from 1915.JPG,1,virelade
Georgia Shepherd.jpg,1,georgia shepherd
DeutschLanghaarneu.jpg,1,deutschlanghaarneu
German Pinscher.JPG,1,german pinscher
03030288 Deutsch Stichelhaa.jpg,1,deutsch stichelhaa
Berger allemand en montagne.jpg,1,berger allemand en montagne
Duitse staande korthaar 10-10-2.jpg,1,duitse staande korthaar
Deutscher Wachtel 2.jpg,1,deutscher wachtel
Un chien Spitz allemand.jpg,1,un chien spitz allemand
GermanWirehrPtr1 wb.jpg,1,germanwirehrptr wb
GiantSchnauzer.jpg,0,giantschnauzer
Wheaten glen of imaal.jpg,0,wheaten glen imaal
Golden Retriever standing Tucker.jpg,1,golden retriever standing tucker
"BIR Grupp 7- GORDONSETTER, Sansetters Roover (24234227995).jpg",1,"bir grupp gordonsetter, sansetters roover"
Grand anglo francais noir.jpg,1,grand anglo francais noir
06101298 Grand anglo francais orange.jpg,1,grand anglo francais orange
Grand anglo francais tricol.jpg,0,grand anglo francais tricol
G Basset Griffon Vendeen 600.jpg,1,g basset griffon vendeen
Grand Bleu de Gascogne in a blue dogcollar.jpg,1,grand bleu de gascogne blue dogcollar
Grand griffon vendéen aka Large Vendéen Griffon 3.JPG,1,grand griffon vend en aka large vend en griffon
Dog niemiecki R 01.jpg,1,dog niemiecki r
Pyreneittenkoira.jpg,1,pyreneittenkoira
Gross1.jpg,1,gross
Hellinikos Ichnilatis.jpg,1,hellinikos ichnilatis
Greek shepherd male.jpg,1,greek shepherd male
Greenland Dog.jpg,1,greenland dog
GraceTheGreyhound.jpg,1,gracethegreyhound
04031124 Griffon Bleu de Gascogne.jpg,1,griffon bleu de gascogne
08115500 Griffon Fauve Bretagne.jpg,0,griffon fauve bretagne
Griffon nivernais.jpg,1,griffon nivernais
GULL TERR (PAKISTANI BULL TERRIER).jpg,1,gull terr pakistani bull terrier
Hamiltonstovare 600.jpg,1,hamiltonstovare
Hannoverscher Schweisshund.jpg,1,hannoverscher schweisshund
Hareindiandog.jpg,1,hareindiandog
Harrier tricolour.jpg,1,harrier tricolour
A Havanese judging.jpg,1,havanese judging
"Hawaiian natives wearing kihei, with animals, sketch by Louis Choris (crop, central dog).jpg",0,"hawaiian native wearing kihei, animals, sketch louis choris crop, central dog"
Jackie Himalayan Shephard.jpg,1,jackie himalayan shephard
Hokkaidou inu.jpg,1,hokkaidou inu
Hortaya Borzaya.jpg,1,hortaya borzaya
Hovawart black and tan.jpg,1,hovawart black tan
Huntaway.JPG,1,huntaway
Norwegian Hygenhound.jpg,1,norwegian hygenhound
Podenco z ibizy 645.jpg,1,podenco z ibizy
Ulfur.jpg,1,ulfur
The Indian Pariah Dog.jpg,0,indian pariah dog
Greater indian spitz.jpg,1,greater indian spitz
Irish Red And White Setter 2005.jpg,1,irish red white setter
Can Setter dog GFDL.jpg,1,setter dog gfdl
Irish-terrier.jpg,1,irish terrier
Irlandzki spaniel wodny 676.jpg,0,irlandzki spaniel wodny
Irish Wolfhound Sam.jpg,0,irish wolfhound sam
Istrian Coarse-haired Hound.jpg,1,istrian coarse haired hound
Istrische Bracke.jpg,1,istrische bracke
Italian Greyhound standing gray.jpg,1,italian greyhound standing gray
Jrt02.jpg,1,jrt
Jagdterrier.jpg,1,jagdterrier
Jämthund.jpg,1,j mthund
Czin japoński 554.jpg,1,czin japo ski
JapaneseSpitzPhoto1 - hiro.jpg,1,japanesespitzphoto hiro
Japanese Terrier 22.04.2012 2pl.jpg,1,japanese terrier pl
Korea Jindo Dog 2.jpg,1,korea jindo dog
Pair Guarding.jpg,1,pair guarding
Image of Kai (dog).jpg,1,image kai dog
Varish.jpg,1,varish
Kanni.png,1,kanni
Karakatschan.jpg,1,karakatschan
Karelski pies na niedźwiedzie 123.jpg,1,karelski pie na nied wiedzie
Karelo-Finnish Laika (Lambert).JPG,1,karelo finnish laika lambert
Owczarek kraski 654.jpg,1,owczarek kraski
Keeshond Majic standing cropped.jpg,1,keeshond majic standing cropped
Kerry Beagle.jpg,1,kerry beagle
Kerry blue terier 545.jpg,1,kerry blue terier
Three King Charles Spaniels.jpg,1,three king charles spaniel
SabreKingShepherd.JPG,0,sabrekingshepherd
Kintamani dog black.jpg,1,kintamani dog black
Kishu.jpg,1,kishu
Komondor delvin.jpg,0,komondor delvin
Pete may01 web.JPG,1,pete may web
Kromfohrlaender glatt.jpg,1,kromfohrlaender glatt
13 months old Male Bully Kutta.jpg,1,month old male bully kutta
Kunming Dog.jpg,1,kunming dog
Otago Museum Kuri - OMNZVT2162 03 (cropped).jpg,0,otago museum kuri omnzvt cropped
Kuvasz Prince Juninho Poster.jpg,1,kuvasz prince juninho poster
KyiLeoGus.jpg,1,kyileogus
Labrador huskies.JPG,1,labrador husky
YellowLabradorLooking new.jpg,1,yellowlabradorlooking new
Lagotto Romagnolo.jpg,1,lagotto romagnolo
Lakeland Terrier.jpg,1,lakeland terrier
Lancashire Heeler 600.jpg,1,lancashire heeler
Landseer.jpg,1,landseer
Lapskvallhund.jpg,1,lapskvallhund
GrosserMuensterlaender.jpg,1,grossermuensterlaender
Leonberg-Male-Adulte-Ursus.jpg,1,leonberg male adulte ursus
Aishia.jpg,0,aishia
Sculptures in Telšiai.jpg,1,sculpture tel iai
02. Coahoma Arkansas Logan.jpg,0,coahoma arkansas logan
Lowchen.jpg,1,lowchen
LupoItaliano.jpg,1,lupoitaliano
MackenzieRiverHusky.jpg,1,mackenzieriverhusky
Magyar agár male.jpg,0,magyar ag r male
Maltese 600.jpg,1,maltese
Cane Pastore Abruzzese Abruzzo.jpg,1,cane pastore abruzzese abruzzo
"Dog relief from meʻae Iʻipona, Puamaʻu Village, Hiva Oa, Marquesas Islands, photograph by Moth Clark, 2009 (levels adjusted).jpg",0,"dog relief ae ipona, puama u village, hiva oa, marquesas islands, photograph moth clark, level adjusted"
McNab (dog).jpg,1,mcnab dog
Blue Merle Miniature American Shepherd in Grass.jpg,1,blue merle miniature american shepherd grass
Bull terier i bull terier miniatura d46.jpg,1,bull terier bull terier miniatura
Miniature Fox Terrier.jpg,1,miniature fox terrier
Miniature pinscher.jpg,1,miniature pinscher
Miniature Schnauzer 02.jpg,1,miniature schnauzer
XBlack.JPG,1,xblack
"Molossian Hound, British Museum.jpg",1,"molossian hound, british museum"
Montenegrin Mountain Hound.jpg,1,montenegrin mountain hound
Moscowwatchdog.jpg,1,moscowwatchdog
MountainCur.jpg,1,mountaincur
Mucuchies natural habitat.jpg,1,mucuchies natural habitat
Caravan hound Closeupfire.jpg,0,caravan hound closeupfire
Hondenras Mudi.jpg,1,hondenras mudi
Mastino Napoletano Rüde clp.JPG,1,mastino napoletano r de clp
Kooiker03.jpg,1,kooiker
Ненецкая лайка 10.jpg,1,
Bearb josh04 07.JPG,1,bearb josh
New Guinea Singing Dog on trail-Cropped.jpg,1,new guinea singing dog trail cropped
New Zealand heading dogs head.jpg,1,new zealand heading dog head
Dash-II-Norfolk-Spaniel.jpg,1,dash ii norfolk spaniel
Norfolk terrier CAC.jpg,1,norfolk terrier cac
Nordic Spitz.jpg,1,nordic spitz
Beagle (PSF).png,1,beagle psf
Northern Inuit Dog.jpg,1,northern inuit dog
Norwegian Buhund 600.jpg,1,norwegian buhund
Norwegian Elkhound.jpg,1,norwegian elkhound
Lundehund-2003.jpg,1,lundehund
Norwichterrier.jpg,1,norwichterrier
Tollers.jpg,1,toller
Wyżeł duński 123.jpg,1,wy e du ski
CribandRosa1811.jpg,1,cribandrosa
Old english sheepdog Ch Bobbyclown's Dare for More.jpg,1,old english sheepdog ch bobbyclown dare
Old english terrier 041.jpg,0,old english terrier
Altdeutscher Schaeferhund cropped.jpg,1,altdeutscher schaeferhund cropped
Spanish Pointer from 1915.JPG,1,spanish pointer
Sable and White Female OTFS Dog.JPG,1,sable white female otfs dog
UKC Olde English Bulldogge Male.jpg,1,ukc olde english bulldogge male
Two otterhounds.jpg,1,two otterhound
Pachon navarro.jpeg,1,pachon navarro
Pandikona.jpg,1,pandikona
Paisley1903.jpg,1,paisley
RileyPapillon.JPG,1,rileypapillon
05052881 PRT braun rau.jpg,1,prt braun rau
Pastore della Lessinia e del Lagorai.jpg,1,pastore della lessinia e del lagorai
Nuttall-bred-patterdale-287612791962623GtT.jpg,1,nuttall bred patterdale gtt
"PEKINGESE, C.I.B. CZ CH DK JV-12 HR CH NO UCH NORD JV-12 SE UCH El’Mambee’s Save My Love (24208350441).jpg",1,"pekingese, cib cz ch dk jv hr ch uch nord jv se uch el mambee save love"
Ca de bestiar.jpg,1,ca de bestiar
Dogo Canario.jpg,1,dogo canario
Ca de bou dog.jpg,1,ca de bou dog
PHDStandardStanding - Perro Sin Pelo del Perú.jpg,1,phdstandardstanding perro sin pelo del per
JillyCrufts-cropped2.JPG,1,jillycrufts cropped
Mały gończy gaskoński Cita z Beckova Cb5.jpg,1,go czy gasko ski cita z beckova cb
Spaniel miniaturowy kontynentalny phalene 00.jpg,1,spaniel miniaturowy kontynentalny phalene
Pies faraona e34.jpg,1,pie faraona e
Phu Quoc dog.jpg,1,phu quoc dog
Epagneul picard 685.jpg,1,epagneul picard
Plott Hound at a show.jpg,1,plott hound show
PlummerTerrier.jpg,1,plummerterrier
Podenco canario hembra.jpg,1,podenco canario hembra
Poitevin-01.jpg,1,poitevin
Chart polski 67u7.jpg,1,chart polski u
PolishHound-MlChPl-OKSANA-ZOstregoBoru-wl.JoannaZembrzuska 3.JPG,1,polishhound mlchpl oksana zostregoboru wljoannazembrzuska
"PolishScenthound-""NUTKA Klusujaca Sfora wl A.Balcerzak.jpg",1,polishscenthound nutka klusujaca sfora wl abalcerzak
Polski owczarek nizinny rybnik-kamien pl.jpg,1,polski owczarek nizinny rybnik kamien pl
Polski Owczarek Podhalanski.jpg,1,polski owczarek podhalanski
Pomeranian 600.jpg,1,pomeranian
04031158 Epagneul Pont Audemer.jpg,0,epagneul pont audemer
Silver Miniature Poodle stacked.jpg,0,silver miniature poodle stacked
Porcelaine.jpg,0,porcelaine
Evitarocks.jpg,1,evitarocks
Wyżeł portugalski 123.jpg,1,wy e portugalski
Cão de agua Português 2.jpg,0,c de agua portugu
Posavski Gonič aka Posavac Hound 2.JPG,1,posavski goni aka posavac hound
Prazsky krysarik 1.jpg,1,prazsky krysarik
Pudelpointer on point.jpg,1,pudelpointer point
Fawn pug 2.5year-old.JPG,1,fawn pug year old
PuliBlack wb.jpg,0,puliblack wb
Pumi 2.jpg,1,pumi
Poongsandogs.JPG,1,poongsandogs
MasPiri-Puma-FIN.jpg,1,maspiri puma fin
PyreneanShepSmooth wb.jpg,1,pyreneanshepsmooth wb
Hart Hunting.jpg,0,hart hunting
Rafeiro male.jpg,1,rafeiro male
Rajapalayamcute.jpg,1,rajapalayamcute
Rampurgreyhound.jpg,1,rampurgreyhound
Rastreadora Brasileira Gaya.jpg,1,rastreadora brasileira gaya
AmRatTerr2 wb.jpg,1,amratterr wb
Ratonero Bodeguero Andaluz.jpg,1,ratonero bodeguero andaluz
Ratero mallorquin.JPG,1,ratero mallorquin
Ratonero valenciano hell.jpg,1,ratonero valenciano hell
Memphis the Redbone Coonhound (7 Nov 2004).jpg,1,memphis redbone coonhound nov
Rhodesian Ridgeback 600.jpg,1,rhodesian ridgeback
Mioritic.jpg,1,mioritic
Rottweiler.jpg,1,rottweiler
Russpaniel.jpg,1,russpaniel
RusskiyToyWelpe.jpg,1,russkiytoywelpe
Russian Yellow Retriever from 1915.jpg,1,russian yellow retriever
"RUSSKAYA TSVETNAYA BOLONKA, Rayskoe Sotsvetie Tsevtik (24264726856).jpg",1,"russkaya tsvetnaya bolonka, rayskoe sotsvetie tsevtik"
East Siberian Laika in Riga.JPG,1,east siberian laika riga
FCI JRT.jpg,1,fci jrt
Bow bow.jpg,1,bow bow
Angoi de A Fonsagrada.JPG,1,angoi de fonsagrada
Colombianus Finus.jpg,1,colombianus finus
Stbernardinsnow.jpg,1,stbernardinsnow
St Johns dog.jpg,0,st john dog
EpagneuldeSaintUsuge.jpg,1,epagneuldesaintusuge
Sakhalin Husky Jiro.JPG,1,sakhalin husky jiro
PaulKane - A Woman Weaving a Blanket (ROM2005 5163).jpg,0,paulkane woman weaving blanket rom
Saluki dog breed.jpg,0,saluki dog breed
Samoyed 600.jpg,1,samoyed
Korea-Jeonju-Sapsal dog in front of a Hanok Village-01.jpg,1,korea jeonju sapsal dog front hanok village
Шарпланинецот од Св.Јован Бигорски.jpg,1,
Nederlandse-schapendoes-02.jpg,1,nederlandse schapendoes
Schillerstövare bearbeitet.jpg,1,schillerst vare bearbeitet
Schipperke gismo 12.jpg,1,schipperke gismo
Swiss Hound.jpg,1,swiss hound
08115491 Schwyzer Niederlaufhund.jpg,1,schwyzer niederlaufhund
Smooth Collie 600.jpg,1,smooth collie
Deerhound. F's K.jpg,1,deerhound f k
Scottish Terrier Photo of Face.jpg,1,scottish terrier photo face
SealyhamTerrier2.jpg,1,sealyhamterrier
Segugio italiano a pelo raso aka Short-haired Italian Hound.JPG,1,segugio italiano pelo raso aka short haired italian hound
Segugio Maremmano.jpg,1,segugio maremmano
Seppala Siberian Sleddog.jpg,1,seppala siberian sleddog
Serbian Hound Face.JPG,1,serbian hound face
Anuke.jpg,1,anuke
Seiskarinkoira Seiskari dog.jpg,1,seiskarinkoira seiskari dog
"BIR Grupp 2-SHAR PEI, Sharpuggles Moulin Rouge (23605985414).jpg",1,"bir grupp shar pei, sharpuggles moulin rouge"
Shetland Sheepdog 600.jpg,1,shetland sheepdog
Taka Shiba.jpg,1,taka shiba
Shih-Tzu.JPG,1,shih tzu
Shikokuken.jpg,1,shikokuken
Plushcoatshilohshepherd.jpg,1,plushcoatshilohshepherd
Siberian-husky.jpg,1,siberian husky
Fallon the Silken Windhound.jpg,1,fallon silken windhound
"SILKY TERRIER, Paradise Passion Every Inch A Lady (24182688032).jpg",1,"silky terrier, paradise passion every inch lady"
Skye terrier 800.jpg,1,skye terrier
Sloughi sandcolor.jpg,1,sloughi sandcolor
ICh Brita z Ruzenice.jpg,1,ich brita z ruzenice
Cuvac 1.jpg,1,cuvac
MVP Nitra 2004 (8).jpg,1,mvp nitra
Smaland-Stövare.jpg,1,smaland st vare
Kleiner Munsterlander edit.jpg,1,kleiner munsterlander edit
SmallGreekDomesticDog.jpg,1,smallgreekdomesticdog
Dog2wheaten.jpg,1,dog wheaten
South Russian Ovcharka.jpg,0,south russian ovcharka
Southern Hound.jpg,1,southern hound
Mastif hiszpanski pl.jpg,1,mastif hiszpanski pl
Perro agua.jpg,1,perro agua
Spinone italiano Oliver.jpg,1,spinone italiano oliver
LucasTerrier.jpg,1,lucasterrier
AStabijs - world dog show 2010.jpg,1,astabijs world dog show
Staffordshire Bull Terrier 600.jpg,1,staffordshire bull terrier
Mancherster Terrier.jpg,1,mancherster terrier
Emppumenossa.jpg,1,emppumenossa
Stephens Cur.jpg,0,stephen cur
Steirische Rauhhaarbracke.jpg,1,steirische rauhhaarbracke
Sussex spaniel t43.jpg,1,sussex spaniel
Svensk lapphund.JPG,1,svensk lapphund
"BIR Grupp 5- VÄSTGÖTASPETS, Skogsbygdens Nora Supernova (24234228695).jpg",0,"bir grupp v stg taspets, skogsbygdens nora supernova"
"Double canoes. Tipaerua, 1769-71 (crop of dog).jpg",0,"double canoe tipaerua, crop dog"
Tahltan Bear Dog sketch2.jpg,1,tahltan bear dog sketch
Taigan.jpg,1,taigan
Formosan nina.jpg,1,formosan nina
Cartercrest.jpg,0,cartercrest
Tamaskan.jpg,1,tamaskan
Teddyterrier.jpg,1,teddyterrier
Telomian.jpg,1,telomian
Rosie the Champion Tenterfield Terrier.jpg,1,rosie champion tenterfield terrier
Brazilian terrier.JPG,1,brazilian terrier
Tesem couple.png,0,tesem couple
Thai-Ridgeback.jpg,1,thai ridgeback
