description,isdog,url
Portuguese Water Dog ‘Gilligan’ Puts Mental and Physical Stamina to the Test,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/c979bceaf64fe1611833cbc829660853/image?etag=1675050847378&width=70&height=47
"My Dog, Myself: Finding Balance in the “Dog World”",0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/0527a08b0d47016861d04ba95e2e57e9/image?etag=1682883010423&width=70&height=47
Border Collie participates in Obedience Dog Sport,1,https://www.akc.org/wp-content/uploads/2017/11/2016_National_Obedience-_MG_7214_detail.jpg
The Mixed Blessings of Social Media,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/1269b12c907275817c99ce70e11847a9/image?etag=1680994269676&width=70&height=47
Portuguese Water Dog ‘Gilligan’ Puts Mental and Physical Stamina to the Test,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/c979bceaf64fe1611833cbc829660853/image?etag=1675050847378&width=70&height=47
"My Dog, Myself: Finding Balance in the “Dog World”",0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/0527a08b0d47016861d04ba95e2e57e9/image?etag=1682883010423&width=70&height=47
husky on the phone,1,https://www.akc.org/wp-content/uploads/2017/11/dfdsfdsf-768x600.jpg
Lure Coursing 101: Get to Know the Action-Packed Dog Sport,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/9b85da4d79f176657aa523e58455a25d/image?etag=1682860874235&width=70&height=47
Conformation dog sport,1,https://www.akc.org/wp-content/uploads/2017/11/IMG_3819_detail.jpg
Investigating Dietary Supplements for the Treatment of Canine Idiopathic Epilepsy,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/9f891c00c0c44816f6d1c15c76fa6f8d/image?etag=1662545721681&width=70&height=47
AKC Breeder Spotlight: Brenda and Neil Brody of Gabriel Afghan Hounds,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/052b56180c2bf007e7e58c4bbda2b4bd/image?etag=1678913107895&width=70&height=47
AKC Breeder Spotlight: Penny Kelley of McEremon Icelandic Sheepdogs,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/def76e300cfbcf44e72bb8a14f13d6f1/image?etag=1676053447705&width=70&height=47
Registered Handler,1,https://www.akc.org/wp-content/uploads/2017/10/TOY-Toy_Poodle_MG_4568_detail.jpg
Registered Handler,1,https://www.akc.org/wp-content/uploads/2017/10/AENC2015-IMG_2396_detail.jpg
Registered Handler,1,https://www.akc.org/wp-content/uploads/2017/10/BBE-GSP_MG_3700_detail.jpg
Registered Handler,1,https://www.akc.org/wp-content/uploads/2017/10/TOY-Toy_Poodle_MG_4568_detail.jpg
Registered Handler,1,https://www.akc.org/wp-content/uploads/2017/10/AENC2015-IMG_2396_detail.jpg
Registered Handler,1,https://www.akc.org/wp-content/uploads/2017/10/BBE-GSP_MG_3700_detail.jpg
Registered Handler,1,https://www.akc.org/wp-content/uploads/2017/10/TOY-Toy_Poodle_MG_4568_detail.jpg
Investigating Dietary Supplements for the Treatment of Canine Idiopathic Epilepsy,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/9f891c00c0c44816f6d1c15c76fa6f8d/image?etag=1662545721681&width=70&height=47
AKC Breeder Spotlight: Brenda and Neil Brody of Gabriel Afghan Hounds,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/052b56180c2bf007e7e58c4bbda2b4bd/image?etag=1678913107895&width=70&height=47
Dog Star of the Month: Dex the Doberman Pinscher,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/8d4d97428c5aa6c26d8fa90498a847e8/image?etag=1682004613197&width=70&height=47
AKC Breeder Spotlight: Penny Kelley of McEremon Icelandic Sheepdogs,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/def76e300cfbcf44e72bb8a14f13d6f1/image?etag=1676053447705&width=70&height=47
Rat Terrier standing in three-quarter view facing forward,1,https://www.akc.org/wp-content/uploads/2017/11/Rat-Terrier-On-White-01.jpg
promote club hero,0,https://www.akc.org/wp-content/uploads/2017/10/promote-club-hero.png
Hair Coat Disorder in Schipperkes Resembles Alopecia X,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/71350941298e8a0d4bb9cda1b668b861/image?etag=1659405791826&width=70&height=47
New “AKC Disc Dog” Title Recognizes UpDog Challenge Athletes,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/7192d1adde79e7da2981771084abc08f/image?etag=1677003490836&width=70&height=47
Dog Star of the Month: Dex the Doberman Pinscher,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/8d4d97428c5aa6c26d8fa90498a847e8/image?etag=1682004613197&width=70&height=47
No Puppies? A Look at Causes of Infertility in Female Dogs,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/0d65148bf7566aed7dac788f547c6213/image?etag=1662746411343&width=70&height=47
Hair Coat Disorder in Schipperkes Resembles Alopecia X,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/71350941298e8a0d4bb9cda1b668b861/image?etag=1659405791826&width=70&height=47
Head In the Game: Winning at a Dog Show Starts with your Attitude,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/f0f2dd188effb11f3a28cfc6b90d07b5/image?etag=1675207810764&width=70&height=47
New “AKC Disc Dog” Title Recognizes UpDog Challenge Athletes,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/7192d1adde79e7da2981771084abc08f/image?etag=1677003490836&width=70&height=47
No Puppies? A Look at Causes of Infertility in Female Dogs,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/0d65148bf7566aed7dac788f547c6213/image?etag=1662746411343&width=70&height=47
Head In the Game: Winning at a Dog Show Starts with your Attitude,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/f0f2dd188effb11f3a28cfc6b90d07b5/image?etag=1675207810764&width=70&height=47
Junior Handler Spotlight: Steven Reiss and His Australian Shepherd,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/5fd964b6db5e68bfaf272ebd8ba3b7a7/image?etag=1679690170888&width=70&height=47
Military Working Dogs Through History,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/7a2f4a179bf9bb84351724ca719cdebf/image?etag=1677206170162&width=70&height=47
Junior Handler Spotlight: Steven Reiss and His Australian Shepherd,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/5fd964b6db5e68bfaf272ebd8ba3b7a7/image?etag=1679690170888&width=70&height=47
Alva Rosenberg: Dog Show Dean & Judge Against Whom All Others Measured,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/9b43ff71d87b881576e5ea384c6cd364/image?etag=1677367809918&width=70&height=47
Military Working Dogs Through History,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/7a2f4a179bf9bb84351724ca719cdebf/image?etag=1677206170162&width=70&height=47
Alva Rosenberg: Dog Show Dean & Judge Against Whom All Others Measured,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/9b43ff71d87b881576e5ea384c6cd364/image?etag=1677367809918&width=70&height=47
A One Health Approach to Beating Human & Canine Cancer,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/32e5896f6f43a57b6077477dd7c15847/image?etag=1669064411293&width=70&height=47
Celebrating 10 Years of AKC Canine Partners Mixed-Breed Dogs,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/ae8337ca823d56a735acee392aec454a/image?etag=1662984189108&width=70&height=47
Junior Handler Spotlight: 16-Year-Old Angel Warren is Inspired to Keep Dog Sports Alive,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/dede4d19cd6e46a010ebef978d98a000/image?etag=1675466649615&width=70&height=47
AKC Library at the headquarters in New York City.,0,https://www.akc.org/wp-content/uploads/2020/06/AKC-Library.jpg
11-Year-Old Cancer Fighter Fulfills Wish of Competing in AKC Agility With Dog Bruiser,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/1ac32d1c2d74a239a5b1c46536bb4f8b/image?etag=1680401532986&width=70&height=47
A One Health Approach to Beating Human & Canine Cancer,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/32e5896f6f43a57b6077477dd7c15847/image?etag=1669064411293&width=70&height=47
Celebrating 10 Years of AKC Canine Partners Mixed-Breed Dogs,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/ae8337ca823d56a735acee392aec454a/image?etag=1662984189108&width=70&height=47
Junior Handler Spotlight: 16-Year-Old Angel Warren is Inspired to Keep Dog Sports Alive,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/dede4d19cd6e46a010ebef978d98a000/image?etag=1675466649615&width=70&height=47
AKC Library and Archives,0,https://www.akc.org/wp-content/uploads/2019/11/AKC-Library-Details-AR3I8788.jpg
Belgrave Joe skeleton on display at the AKC Library and Archives.,0,https://www.akc.org/wp-content/uploads/2019/11/AKC-MOD-AKC_8594-David-Woo.jpg
AKC Library and Archives at the headquarters.,0,https://www.akc.org/wp-content/uploads/2019/11/AKC-Library-Details-AR3I8748.jpg
AKC Library and Archives,0,https://www.akc.org/wp-content/uploads/2019/11/AKC-Library-Details-AR3I8780.jpg
AKC Library and Archives rare books.,0,https://www.akc.org/wp-content/uploads/2019/11/101-Park-Office-AR3I8410.jpg
AKC Library and Archives at the Museum of the Dog.,0,https://www.akc.org/wp-content/uploads/2019/11/AKC-Museum-of-Dog-Staging-Day-AKC_8761-David-Woo.jpg
AKC Library and Archives,0,https://www.akc.org/wp-content/uploads/2019/11/AKC-Library-Details-AR3I8788.jpg
Belgrave Joe skeleton on display at the AKC Library and Archives.,0,https://www.akc.org/wp-content/uploads/2019/11/AKC-MOD-AKC_8594-David-Woo.jpg
AKC Library and Archives at the headquarters.,0,https://www.akc.org/wp-content/uploads/2019/11/AKC-Library-Details-AR3I8748.jpg
AKC Library and Archives,0,https://www.akc.org/wp-content/uploads/2019/11/AKC-Library-Details-AR3I8780.jpg
AKC Library and Archives rare books.,0,https://www.akc.org/wp-content/uploads/2019/11/101-Park-Office-AR3I8410.jpg
AKC Library and Archives at the Museum of the Dog.,0,https://www.akc.org/wp-content/uploads/2019/11/AKC-Museum-of-Dog-Staging-Day-AKC_8761-David-Woo.jpg
AKC Library and Archives,0,https://www.akc.org/wp-content/uploads/2019/11/AKC-Library-Details-AR3I8788.jpg
Border Collie competes in Agility dog sport,1,https://www.akc.org/wp-content/uploads/2017/11/NAC_201503_BorderCollie_IMG_0873_detail.jpg
"Canine Partners mixed breed participating in the 2013 Rally National Championship, Tulsa, OK dog sport",1,https://www.akc.org/wp-content/uploads/2019/07/031513_AKC_204.jpg
Border Collie participates in Obedience Dog Sport,1,https://www.akc.org/wp-content/uploads/2017/11/2016_National_Obedience-_MG_7214_detail.jpg
Conformation dog sport,1,https://www.akc.org/wp-content/uploads/2017/11/IMG_3819_detail.jpg
Rat Terrier standing in three-quarter view facing forward,1,https://www.akc.org/wp-content/uploads/2017/11/Rat-Terrier-On-White-01.jpg
"That’ll Do, Pig: The Wisdom of Babe",1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/727b934eda645d2644eca8eef72a0617/image?etag=1682874912956&width=770&height=510
6 Fascinating Facts to Learn About the Welsh Springer Spaniel,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/c98e524815b07c3761233798515d61d8/image?etag=1682876348864&width=770&height=510
14 Stunning Photos of Show Dogs As You’ve Never Seen Them Before,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/4031b0ae821383bc0c1f318ac5854e5a/image?etag=1682908566938&width=70&height=47
BSL Popularity on Decline Nationwide,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/6ae7e8bbeae99dc31c8370521c2ca4c0/image?etag=1682908748048&width=70&height=47
Why Does My Dog Duck When I Pat Him on the Head?,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/3627a32a03184b01b4363fbcca64b1f9/image?etag=1682908566938&width=70&height=47
How Separation Anxiety Might Impact Your Dog When You Return to Work,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/a416b615c56a6d3c870cecffc5a22adb/image?etag=1682907489098&width=70&height=47
7 Goofy Bulldogs Who Are Doing Things Their Own Way,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/1c909c80ea0f1fb009ba3cd388898f7d/image?etag=1682820914382&width=770&height=510
14 Stunning Photos of Show Dogs As You’ve Never Seen Them Before,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/4031b0ae821383bc0c1f318ac5854e5a/image?etag=1682908566938&width=70&height=47
How to Stop Your Dog From Jumping Up on People,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/f11b55bde71d3bc35c52988495a3ebdc/image?etag=1682908207656&width=70&height=47
Why Dogs Eat Poop and How to Stop It,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/b1080541171100b72a49265a60018b2a/image?etag=1682908748048&width=70&height=47
Dog Badly Scorched in Fire Becomes Therapy Dog For Burn Victims,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/0b70471bd859c8388d6e7187247e71ea/image?etag=1682902811760&width=70&height=47
border collie puppy with breeder,1,https://www.akc.org/wp-content/uploads/2017/11/finding-a-breeder-hero.jpg
7 Goofy Bulldogs Who Are Doing Things Their Own Way,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/1c909c80ea0f1fb009ba3cd388898f7d/image?etag=1682820914382&width=770&height=510
Show Us Your Dog Pictures and Videos!,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/aaf6070534daadeb0a04eb2a49224cff/image?etag=1681164187884&width=770&height=510
Dog Badly Scorched in Fire Becomes Therapy Dog For Burn Victims,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/0b70471bd859c8388d6e7187247e71ea/image?etag=1682902811760&width=70&height=47
In Full Bloom: Tips for Dog-Friendly Gardens,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/2714598fd0e4f3a458f7d454aec78017/image?etag=1682906587155&width=70&height=47
You Dirty Dog!,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/13acc656b3ce2ad5874ac6e547e35050/image?etag=1682901368756&width=70&height=47
Lure coursing dog sport,1,https://www.akc.org/wp-content/uploads/2017/11/MAHA_200607_Borzoi_IMG_1298_detail.jpg
Border Collie competes in Agility dog sport,1,https://www.akc.org/wp-content/uploads/2017/11/NAC_201503_BorderCollie_IMG_0873_detail.jpg
"Canine Partners mixed breed participating in the 2013 Rally National Championship, Tulsa, OK dog sport",1,https://www.akc.org/wp-content/uploads/2019/07/031513_AKC_204.jpg
Border Collie participates in Obedience Dog Sport,1,https://www.akc.org/wp-content/uploads/2017/11/2016_National_Obedience-_MG_7214_detail.jpg
Conformation dog sport,1,https://www.akc.org/wp-content/uploads/2017/11/IMG_3819_detail.jpg
Border Collie competes in Agility dog sport,1,https://www.akc.org/wp-content/uploads/2017/11/NAC_201503_BorderCollie_IMG_0873_detail.jpg
"Canine Partners mixed breed participating in the 2013 Rally National Championship, Tulsa, OK dog sport",1,https://www.akc.org/wp-content/uploads/2019/07/031513_AKC_204.jpg
Border Collie participates in Obedience Dog Sport,1,https://www.akc.org/wp-content/uploads/2017/11/2016_National_Obedience-_MG_7214_detail.jpg
Conformation dog sport,1,https://www.akc.org/wp-content/uploads/2017/11/IMG_3819_detail.jpg
Meet the Oldest Dog to Compete in the 2019 National Obedience Championship,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/0da74a865430bb7225204bb08bab275f/image?etag=1682873113059&width=770&height=510
Kit the Rat Terrier Is a Dog Star,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/c3d4cc69eb79db328e05781be1c99194/image?etag=1682672949932&width=770&height=510
Maverick the Border Collie Wins 2019 National Obedience Championship,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/19874660592f0e0a8811c8a5d76ada30/image?etag=1676323632028&width=770&height=510
From Show Champion to Service Dog: Clumber Spaniel Supports Veteran Owner,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/a6459e8cacb4df918c32ff65af72178f/image?etag=1682428330594&width=70&height=47
The Art of Finding and Keeping Club Members,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/bcfaeb04faceb537ada13ee407287b5c/image?etag=1678553832306&width=70&height=47
Shiba Inu Littermates Dominate Breed FastCAT Rankings,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/3fb774f6295949371d74eed6855e699a/image?etag=1678920309028&width=70&height=47
Junior Handler Spotlight: Jada Sawhney,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/872989eb4d46b63ed21e33a5889e252d/image?etag=1679267890306&width=70&height=47
How Will Dog Shows Change as We Hit the Reset Button?,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/18e1d6d19450ba58408ae8d0cef5463a/image?etag=1682904787280&width=770&height=510
Back to Dog Show Basics: Reset Your Conformation Education,1,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/c74fcb95b9ea5508284ca68c7a88ccbf/image?etag=1682883727691&width=770&height=510
11-Year-Old Cancer Fighter Fulfills Wish of Competing in AKC Agility With Dog Bruiser,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/1ac32d1c2d74a239a5b1c46536bb4f8b/image?etag=1680401532986&width=70&height=47
"Sunny Shay, High Priestess of Afghan Hounds",0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/04972671350103cd8e95a7e46c0bde15/image?etag=1669735990713&width=70&height=47
"External Dog Parasites: Fleas, Ticks, Lice, Mites",0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/c1781d34fcdd656656c497264afb1dcc/image?etag=1682903346717&width=70&height=47
Disc Dog 101: Ins and Outs of UpDog Challenge & AKC’s New Dog Sport Title,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/a7df7365da91ae4e3fd1adfbe99da659/image?etag=1665583749715&width=70&height=47
Register Your Dog,1,http://akc.org/wp-content/uploads/2017/11/register-your-dogs.jpg
Meet Three Handlers with Physical Challenges and Learn How They Compete in Dog Sports,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/b50fd53b3ecb07ff25a13439178f5cd7/image?etag=1682689508389&width=70&height=47
"Sunny Shay, High Priestess of Afghan Hounds",0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/04972671350103cd8e95a7e46c0bde15/image?etag=1669735990713&width=70&height=47
"External Dog Parasites: Fleas, Ticks, Lice, Mites",0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/c1781d34fcdd656656c497264afb1dcc/image?etag=1682903346717&width=70&height=47
Participants Sought for AKC Pilot Detection Puppy Rearing Program,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/ae5ed3054072d172f4c87e17865855bc/image?etag=1682256434269&width=70&height=47
Disc Dog 101: Ins and Outs of UpDog Challenge & AKC’s New Dog Sport Title,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/a7df7365da91ae4e3fd1adfbe99da659/image?etag=1665583749715&width=70&height=47
two poodles outdoors top 5 most popular breeds,0,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2022/03/15085347/Miniature-Poodles-head-portrait-outdoors-1-400x267.jpg
Bulldog puppy laying down stretching in the grass.,1,https://www.akc.org/wp-content/uploads/2017/06/Bulldog-puppy-laying-down-stretching-in-the-grass-1-400x267.jpeg
"Basenji puppy, house pet playing under the bed",1,https://www.akc.org/wp-content/uploads/2020/06/basenji-hiding-under-furniture-400x267.jpg
two poodles outdoors top 5 most popular breeds,0,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2022/03/15085347/Miniature-Poodles-head-portrait-outdoors-1-400x267.jpg
Bulldog puppy laying down stretching in the grass.,1,https://www.akc.org/wp-content/uploads/2017/06/Bulldog-puppy-laying-down-stretching-in-the-grass-1-400x267.jpeg
Which Dogs Excel At Earthdog & Why?,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/2cff23087f156838423c4867dd4247d8/image?etag=1682541548451&width=70&height=47
"Basenji puppy, house pet playing under the bed",1,https://www.akc.org/wp-content/uploads/2020/06/basenji-hiding-under-furniture-400x267.jpg
two poodles outdoors top 5 most popular breeds,0,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2022/03/15085347/Miniature-Poodles-head-portrait-outdoors-1-400x267.jpg
French Bulldog and Pug laying together on a chair indoors,1,https://www.akc.org/wp-content/uploads/2021/05/French-Bulldog-and-Pug-laying-on-a-chair-together-indoors-400x267.jpeg
Starting Over: When You Must Back Up to Get Ahead,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/bb8737c34a8c2258fd77383ff06b26ab/image?etag=1680711671739&width=70&height=47
Dachshund with its owner getting checked by a veterinarian.,1,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2022/07/20085929/Dachshund-with-its-owner-getting-checked-by-a-veterinarian-400x267.jpg
Leonberger laying on a grassy path in the woods.,1,https://www.akc.org/wp-content/uploads/2017/11/Leonberger-laying-on-a-grassy-path-in-the-woods-400x267.jpg
Cute dog eating food,1,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2022/03/15144136/French-Bulldog-eating-from-a-bowl-at-home-400x267.jpeg
Dog eating dry kibble out of a bowl,1,https://www.akc.org/wp-content/uploads/2016/07/GettyImages-496791328-400x267.jpg
Agility ESPN Dog Day 2019: Papillon,1,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2023/03/09112537/ESPN-Dog-Day-AKC_5002-400x267.jpg
two puppies cause mess in house,1,https://www.akc.org/wp-content/uploads/2016/07/puppy-proofing-your-house-and-yard-400x267.jpg
Dog sitting in front of agility ribbons,1,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2023/03/15075153/Kanga_withRibbons_H_final-400x267.png
German Shorthaired Pointer standing in a field hunting in winter.,0,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2023/02/08144648/German-Shorthaired-Pointer-standing-in-a-field-hunting-in-winter-400x267.jpg
